"","min","start","feeder"
"1",0.149633333333333,"start","medium"
"3",1.58581666666667,"stop",""
"4",1.67248333333333,"start","medium"
"5",1.75193333333333,"stop",""
"6",2.53016666666667,"start","medium"
"7",3.18173333333333,"stop",""
"8",4.50046666666667,"start","inside nest"
"9",7.98668333333333,"stop",""
"10",9.24915,"start","medium"
"11",9.26875,"stop",""
"13",9.39728333333333,"start","medium"
"14",9.40501666666667,"stop",""
"15",9.65898333333333,"start","medium"
"16",9.66846666666667,"stop",""
"17",9.76298333333333,"start","medium"
"18",9.77471666666667,"stop",""
"19",10.3129666666667,"start","medium"
"20",10.3344333333333,"stop",""
"21",10.6288,"start","medium"
"22",10.6437333333333,"stop",""
"23",11.6830166666667,"start","medium"
"24",11.69995,"stop",""
"25",12.0392666666667,"start","medium"
"26",12.0975333333333,"stop",""
"27",14.40275,"start","bad (will be good)"
"29",14.4423666666667,"stop",""
"30",14.4983333333333,"start","bad (will be good)"
"31",14.5260666666667,"stop",""
"32",15.7890833333333,"start","medium"
"34",16.90755,"stop",""
"35",17.95175,"start","inside nest"
"36",21.0941666666667,"stop",""
"37",21.6918333333333,"start","medium"
"39",22.6749666666667,"stop",""
"40",23.9584166666667,"start","inside nest"
"41",27.8213333333333,"stop",""
"42",29.6828,"start","medium"
"44",30.74125,"stop",""
"45",31.3906666666667,"start","inside nest"
"46",36.2302,"stop",""
"47",37.3401166666667,"start","medium"
"49",38.4753833333333,"stop",""
"50",38.6927,"start","medium"
"51",39.5582666666667,"stop",""
"52",40.5966,"start","inside nest"
"53",43.9525,"switch","switch"
"54",43.9858333333333,"stop",""
"55",44.13455,"start","tandem run"
"56",45.2126333333333,"stop",""
"57",46.0383166666667,"start","medium"
"59",47.2133333333333,"stop",""
"60",47.3543833333333,"start","medium"
"61",47.6189,"stop",""
"62",47.89035,"start","medium"
"63",47.9402166666667,"stop",""
"64",48.2300666666667,"start","medium"
"65",48.2822,"stop",""
"66",50.7500666666667,"start","inside nest"
"67",55.4991666666667,"stop",""
"68",56.1193833333333,"start","medium"
"70",56.25565,"stop",""
"71",57.0892,"start","medium"
"72",57.8707666666667,"stop",""
"73",58.3479333333333,"start","medium"
"74",58.4019333333333,"stop",""
"75",60.8824833333333,"start","inside nest"
"76",61.5133666666667,"stop",""
"77",61.6833666666667,"start","tandem run"
"78",63.27635,"stop",""
"79",63.36755,"start","medium"
"81",63.4755333333333,"stop",""
"82",63.6955166666667,"start","medium"
"83",63.7368666666667,"stop",""
"84",64.1007,"start","medium"
"85",65.2791666666667,"stop",""
"86",65.8668833333333,"start","inside nest"
"87",71.087,"stop",""
"88",71.6373833333333,"start","medium"
"90",71.7613666666667,"stop",""
"91",71.8269666666667,"start","medium"
"92",74.0053833333333,"stop",""
"93",75.3031666666667,"start","inside nest"
"94",80.1785333333333,"stop",""
"95",80.6230333333333,"start","medium"
"97",83.00865,"stop",""
"98",83.5106166666667,"start","inside nest"
"99",87.9569166666667,"stop",""
"100",88.0219833333333,"start","tandem run"
"101",89.0774,"stop",""
"102",89.2447333333333,"start","medium"
"104",90.3042666666667,"stop",""
"105",90.3866666666667,"start","medium"
"106",90.6757166666667,"stop",""
"107",90.7889,"start","medium"
"108",90.9093,"stop",""
"109",91.6634,"start","inside nest"
