"","min","start","feeder"
"1",2.35386666666667,"start","bad"
"3",2.42465,"stop",""
"4",6.1302,"start","tandem run"
"5",8.44846666666667,"stop",""
"6",15.1665,"start","bad"
"8",15.2347833333333,"stop",""
"9",15.24705,"start","bad"
"10",15.3137166666667,"stop",""
"11",17.5252,"start","bad"
"12",17.5788333333333,"stop",""
"13",20.0798666666667,"start","medium"
"15",22.594,"stop",""
"16",25.57985,"start","inside nest"
"17",35.37415,"stop",""
"18",35.3797166666667,"start","tandem run"
"19",35.6641166666667,"stop",""
"20",36.3604666666667,"start","bad"
"22",36.3814,"stop",""
"23",36.4015333333333,"start","bad"
"24",36.91525,"stop",""
"25",37.0819166666667,"start","bad"
"26",37.1521666666667,"stop",""
"27",37.2640333333333,"start","bad"
"28",37.3060333333333,"stop",""
"29",37.8542666666667,"start","bad"
"30",38.58135,"stop",""
"31",39.0640666666667,"start","inside nest"
"32",46.5879333333333,"stop",""
"33",47.0957833333333,"start","bad"
"35",48.5627666666667,"stop",""
"36",49.0981166666667,"start","inside nest"
"37",54.5025333333333,"stop",""
"38",54.54955,"start","tandem run"
"39",56.2751666666667,"stop",""
"40",56.6918166666667,"start","bad"
"42",56.7682166666667,"stop",""
"43",56.82145,"start","bad"
"44",56.8718,"stop",""
"45",57.31445,"start","bad"
"46",58.57625,"stop",""
"47",59.0798166666667,"start","inside nest"
"48",64.1738333333333,"switch","switch"
"49",64.2238333333333,"stop",""
"50",64.95645,"start","bad"
"52",64.99005,"stop",""
"53",65.48455,"start","bad"
"54",65.5190833333333,"stop",""
"55",67.2663333333333,"start","bad"
"56",67.36285,"stop",""
"57",67.41805,"start","bad"
"58",67.4537833333333,"stop",""
"59",68.64785,"start","medium"
"61",69.96605,"stop",""
"62",71.9674166666667,"start","inside nest"
"63",80.0127166666667,"stop",""
"64",80.2259166666667,"start","tandem run"
"65",82.0404833333333,"stop",""
"66",82.4198,"start","bad"
"68",82.4224666666667,"stop",""
"69",83.2154833333333,"start","bad"
"70",83.2492166666667,"stop",""
"71",83.2852166666667,"start","bad"
"72",83.3076666666667,"stop",""
"73",84.6714166666667,"start","medium"
"75",85.8624166666667,"stop",""
"76",86.5870333333333,"start","inside nest"
"77",92.0521,"stop",""
"78",93.4700166666667,"start","bad"
"80",93.5270166666667,"stop",""
"81",93.7648,"start","bad"
"82",93.7836,"stop",""
"83",94.3237,"start","inside nest"
"84",106.409733333333,"stop",""
"85",107.253033333333,"start","medium"
"87",108.4243,"stop",""
"88",108.884133333333,"start","inside nest"
