"number","groupID","type","environment"
1,"e11-1","g",1
2,"e11-1","t",1
3,"e11-1","g",1
4,"e11-1","t",1
5,"e11-1","g",1
6,"e11-1","t",1
7,"e11-1","g",1
8,"e11-1","t",1
9,"e11-1","g",1
10,"e11-1","t",1
11,"e11-1","g",1
12,"e11-1","t",2
13,"e11-1","g",2
14,"e11-1","t",2
15,"e11-1","g",2
16,"e11-1","g",2
17,"e11-1","g",2
18,"e11-1","t",2
19,"e11-1","g",2
20,"e11-1","g",2
1,"e68-1","p",1
2,"e68-1","p",1
3,"e68-1","t",1
4,"e68-1","p",1
5,"e68-1","g",1
6,"e68-1","t",1
7,"e68-1","g",1
8,"e68-1","t",1
9,"e68-1","g",2
10,"e68-1","t",2
11,"e68-1","g",2
12,"e68-1","t",2
13,"e68-1","g",2
14,"e68-1","g",2
15,"e68-1","g",2
16,"e68-1","t",2
17,"e68-1","g",2
18,"e68-1","t",2
19,"e68-1","g",2
1,"e57-1","p",1
2,"e57-1","p",1
3,"e57-1","p",1
4,"e57-1","p",1
5,"e57-1","p",1
6,"e57-1","p",1
7,"e57-1","p",2
8,"e57-1","p",2
9,"e57-1","b",2
10,"e57-1","t",2
11,"e57-1","p",2
12,"e57-1","t",2
13,"e57-1","p",2
14,"e57-1","p",2
1,"e46-1","x",1
2,"e46-1","x",1
3,"e46-1","x",1
4,"e46-1","x",1
5,"e46-1","x",1
6,"e46-1","x",1
7,"e46-1","b",2
8,"e46-1","t",2
9,"e46-1","b",2
10,"e46-1","t",2
11,"e46-1","b",2
12,"e46-1","t",2
13,"e46-1","b",2
14,"e46-1","t",2
15,"e46-1","b",2
16,"e46-1","t",2
17,"e46-1","b",2
1,"e69-1","p",1
2,"e69-1","p",1
3,"e69-1","g",1
4,"e69-1","t",1
5,"e69-1","p",1
6,"e69-1","t",1
7,"e69-1","p",1
8,"e69-1","p",1
9,"e69-1","t",2
10,"e69-1","p",2
11,"e69-1","t",2
12,"e69-1","p",2
13,"e69-1","t",2
14,"e69-1","p",2
15,"e69-1","t",2
16,"e69-1","g",2
17,"e69-1","t",2
18,"e69-1","b",2
19,"e69-1","t",2
20,"e69-1","b",2
1,"e57-2","g",1
2,"e57-2","g",1
3,"e57-2","g",1
4,"e57-2","g",1
5,"e57-2","t",1
6,"e57-2","g",1
7,"e57-2","g",1
8,"e57-2","t",2
9,"e57-2","g",2
10,"e57-2","t",2
11,"e57-2","g",2
12,"e57-2","g",2
13,"e57-2","t",2
14,"e57-2","g",2
15,"e57-2","t",2
16,"e57-2","g",2
17,"e57-2","t",2
18,"e57-2","g",2
1,"e11-2","g",1
2,"e11-2","p",1
3,"e11-2","g",1
4,"e11-2","g",1
5,"e11-2","g",1
6,"e11-2","g",1
7,"e11-2","g",2
8,"e11-2","g",2
9,"e11-2","g",2
10,"e11-2","g",2
11,"e11-2","g",2
12,"e11-2","g",2
1,"e69-2","g",1
2,"e69-2","g",1
3,"e69-2","g",1
4,"e69-2","t",1
5,"e69-2","g",1
6,"e69-2","t",1
7,"e69-2","g",1
8,"e69-2","t",1
9,"e69-2","g",1
10,"e69-2","t",2
11,"e69-2","g",2
12,"e69-2","g",2
13,"e69-2","t",2
14,"e69-2","g",2
15,"e69-2","g",2
16,"e69-2","t",2
17,"e69-2","g",2
18,"e69-2","t",2
19,"e69-2","g",2
1,"e68-2","g",1
2,"e68-2","t",1
3,"e68-2","t",1
4,"e68-2","g",1
5,"e68-2","t",1
6,"e68-2","g",1
7,"e68-2","g",1
8,"e68-2","t",1
9,"e68-2","g",1
10,"e68-2","t",1
11,"e68-2","g",1
12,"e68-2","t",2
13,"e68-2","g",2
14,"e68-2","t",2
15,"e68-2","g",2
16,"e68-2","g",2
17,"e68-2","g",2
18,"e68-2","t",2
19,"e68-2","g",2
20,"e68-2","t",2
21,"e68-2","g",2
1,"e69-3","p",1
2,"e69-3","t",1
3,"e69-3","p",1
4,"e69-3","g",1
5,"e69-3","t",1
6,"e69-3","p",1
7,"e69-3","p",1
8,"e69-3","t",1
9,"e69-3","p",1
10,"e69-3","p",2
11,"e69-3","g",2
12,"e69-3","t",2
13,"e69-3","p",2
14,"e69-3","g",2
15,"e69-3","p",2
16,"e69-3","g",2
1,"e11-3","g",1
2,"e11-3","g",1
3,"e11-3","g",1
4,"e11-3","g",1
5,"e11-3","g",1
6,"e11-3","g",1
7,"e11-3","g",2
8,"e11-3","g",2
9,"e11-3","g",2
10,"e11-3","g",2
11,"e11-3","g",2
12,"e11-3","g",2
1,"e57-3","g",1
2,"e57-3","p",1
3,"e57-3","g",1
4,"e57-3","g",1
5,"e57-3","g",1
6,"e57-3","g",1
7,"e57-3","t",2
8,"e57-3","g",2
9,"e57-3","g",2
10,"e57-3","t",2
11,"e57-3","g",2
12,"e57-3","g",2
13,"e57-3","g",2
14,"e57-3","t",2
15,"e57-3","g",2
