time,feeder,event,minutes,
0:00:00,1,poor,0.00,
0:00:00,2,good,0.00,
0:00:00,3,best,0.00,
0:03:55,1,start,3.92,
0:09:53,1,start,9.88,
0:18:38,1,start,18.63,
0:20:57,1,start,20.95,
0:46:46,1,start,46.77,
0:51:54,1,start,51.90,
1:01:57,1,start,61.95,
1:24:37,1,start,84.62,2:00:00
0:05:24,2,start,5.40,
0:06:09,2,start,6.15,
0:07:41,2,start,7.68,
0:09:48,2,start,9.80,
0:11:20,2,start,11.33,
0:11:50,2,start,11.83,
0:12:11,2,start,12.18,
0:14:24,2,start,14.40,
0:14:32,2,start,14.53,
0:19:01,2,start,19.02,
0:19:21,2,start,19.35,
0:20:58,2,start,20.97,
0:21:36,2,start,21.60,
0:24:36,2,start,24.60,
0:24:42,2,start,24.70,
0:25:43,2,start,25.72,
0:26:20,2,start,26.33,
0:26:24,2,start,26.40,
0:26:48,2,start,26.80,
0:27:18,2,start,27.30,
0:31:11,2,start,31.18,
0:31:20,2,start,31.33,
0:31:41,2,start,31.68,
0:31:47,2,start,31.78,
0:33:37,2,start,33.62,
0:33:47,2,start,33.78,
0:34:53,2,start,34.88,
0:36:43,2,start,36.72,
0:36:59,2,start,36.98,
0:38:20,2,start,38.33,
0:38:58,2,tandem,38.97,
0:39:19,2,start,39.32,
0:39:23,2,start,39.38,
0:40:26,2,start,40.43,
0:41:12,2,start,41.20,
0:41:56,2,start,41.93,
0:42:47,2,start,42.78,
0:43:00,2,start,43.00,
0:43:31,2,start,43.52,
0:45:06,2,start,45.10,
0:45:14,2,start,45.23,
0:45:26,2,start,45.43,
0:46:53,2,start,46.88,
0:46:55,2,start,46.92,
0:47:10,2,start,47.17,
0:47:51,2,start,47.85,
0:48:22,2,start,48.37,
0:48:43,2,start,48.72,
0:49:50,2,start,49.83,
0:51:07,2,start,51.12,
0:51:24,2,start,51.40,
0:51:58,2,start,51.97,
0:52:26,2,start,52.43,
0:53:13,2,start,53.22,
0:54:11,2,start,54.18,
0:55:34,2,start,55.57,
0:55:36,2,start,55.60,
0:55:55,2,start,55.92,
0:56:01,2,start,56.02,
0:56:06,2,start,56.10,
0:56:37,2,start,56.62,
0:58:27,2,start,58.45,
0:58:50,2,start,58.83,
0:59:39,2,start,59.65,
1:00:08,2,start,60.13,
1:01:41,2,start,61.68,
1:02:14,2,start,62.23,
1:02:41,2,start,62.68,
1:03:05,2,start,63.08,
1:04:35,2,start,64.58,
1:05:58,2,start,65.97,
1:05:58,2,start,65.97,
1:06:10,2,start,66.17,
1:06:50,2,start,66.83,
1:07:41,2,start,67.68,
1:08:27,2,start,68.45,
1:08:47,2,start,68.78,
1:10:37,2,start,70.62,
1:10:39,2,start,70.65,
1:10:39,2,start,70.65,
1:10:46,2,start,70.77,
1:10:58,2,start,70.97,
1:15:27,2,start,75.45,
1:15:57,2,start,75.95,
1:16:13,2,start,76.22,
1:16:49,2,start,76.82,
1:19:43,2,start,79.72,
1:20:05,2,start,80.08,
1:21:28,2,start,81.47,
1:21:31,2,start,81.52,
1:23:29,2,start,83.48,
1:23:58,2,start,83.97,
1:24:03,2,start,84.05,
1:25:02,2,start,85.03,
1:25:16,2,start,85.27,
1:25:18,2,start,85.30,
1:26:34,2,start,86.57,
1:27:54,2,start,87.90,
1:28:41,2,start,88.68,
1:32:02,2,start,92.03,
1:32:47,2,start,92.78,
1:33:06,2,start,93.10,
1:33:37,2,start,93.62,
1:33:52,2,start,93.87,
1:34:45,2,start,94.75,
1:35:12,2,start,95.20,2:00:00
0:25:56,3,start,25.93,
0:27:58,3,start,27.97,
0:38:59,3,start,38.98,
0:48:52,3,switch,48.87,
0:52:27,3,start,52.45,
0:52:27,3,start,52.45,
0:54:29,3,start,54.48,
0:59:28,3,start,59.47,
0:59:36,3,start,59.60,
0:01:03,3,start,1.05,
1:01:33,3,start,61.55,
1:04:45,3,start,64.75,
1:10:22,3,start,70.37,
1:12:34,3,start,72.57,
1:12:41,3,start,72.68,
1:14:03,3,start,74.05,
1:16:50,3,start,76.83,
1:20:41,3,start,80.68,
1:21:28,3,start,81.47,
1:21:47,3,start,81.78,
1:23:33,3,start,83.55,
1:24:59,3,start,84.98,
1:27:25,3,start,87.42,
1:29:14,3,start,89.23,
1:29:34,3,start,89.57,
1:30:57,3,start,90.95,
1:34:13,3,start,94.22,
1:37:29,3,start,97.48,
1:38:39,3,start,98.65,
1:38:51,3,start,98.85,
1:38:56,3,start,98.93,
1:39:07,3,tandem,99.12,
1:40:28,3,start,100.47,
1:43:19,3,start,103.32,
1:45:08,3,start,105.13,
1:45:14,3,start,105.23,
1:45:31,3,start,105.52,
1:45:31,3,start,105.52,
1:49:14,3,tandem,109.23,
1:50:19,3,start,110.32,
1:50:30,3,start,110.50,
1:51:16,3,tandem,111.27,
1:51:39,3,start,111.65,
1:52:23,3,start,112.38,
1:52:43,3,start,112.72,
1:52:45,3,start,112.75,
1:53:08,3,start,113.13,
1:54:57,3,start,114.95,
1:58:43,3,start,118.72,
1:59:05,3,start,119.08,
1:59:39,3,start,119.65,
1:59:39,3,start,119.65,
