time,feeder,event,minutes,
0:00:00,1,best,0.00,
0:00:00,2,poor,0.00,
0:00:00,3,good,0.00,
0:01:22,1,start,1.37,
0:02:47,1,start,2.78,
0:03:26,1,start,3.43,
0:09:35,1,start,9.58,
0:09:35,1,start,9.58,
0:19:42,1,start,19.70,
0:25:58,1,start,25.97,
0:40:19,1,switch,40.32,
1:00:03,1,start,60.05,
1:05:54,1,start,65.90,
0:00:58,2,start,0.97,
0:02:12,2,start,2.20,
0:03:59,2,start,3.98,
0:06:04,2,start,6.07,
0:07:41,2,start,7.68,
0:08:20,2,start,8.33,
0:10:28,2,start,10.47,
0:13:25,2,start,13.42,
0:20:34,2,start,20.57,
0:22:45,2,start,22.75,
0:23:40,2,start,23.67,
0:23:41,2,start,23.68,
0:25:07,2,start,25.12,
0:26:04,2,start,26.07,
0:26:35,2,start,26.58,
0:30:49,2,start,30.82,
0:36:09,2,start,36.15,
0:53:27,2,start,53.45,
1:01:39,2,start,61.65,
1:10:53,2,start,70.88,
1:23:41,2,start,83.68,
1:26:58,2,start,86.97,
1:50:28,2,start,110.47,
1:58:54,2,start,118.90,
1:59:06,2,start,119.10,
0:02:12,3,start,2.20,
0:03:18,3,start,3.30,
0:04:23,3,start,4.38,
0:05:04,3,start,5.07,
0:06:34,3,start,6.57,
0:17:08,3,start,17.13,
0:18:13,3,start,18.22,
0:18:34,3,start,18.57,
0:20:48,3,start,20.80,
0:21:42,3,start,21.70,
0:24:02,3,start,24.03,
0:24:17,3,start,24.28,
0:25:19,3,start,25.32,
0:26:53,3,start,26.88,
0:28:01,3,start,28.02,
0:29:51,3,start,29.85,
0:30:09,3,start,30.15,
0:31:44,3,start,31.73,
0:32:20,3,start,32.33,
0:32:22,3,start,32.37,
0:33:13,3,start,33.22,
0:34:45,3,start,34.75,
0:36:10,3,start,36.17,
0:37:56,3,start,37.93,
0:38:45,3,start,38.75,
0:39:33,3,start,39.55,
0:42:03,3,start,42.05,
0:42:07,3,start,42.12,
0:44:13,3,start,44.22,
0:46:55,3,start,46.92,
0:47:54,3,start,47.90,
0:50:39,3,start,50.65,
0:51:03,3,start,51.05,
0:51:58,3,start,51.97,
0:53:46,3,start,53.77,
0:53:59,3,start,53.98,
0:57:08,3,start,57.13,
0:57:54,3,start,57.90,
0:58:58,3,start,58.97,
1:02:06,3,start,62.10,
1:02:29,3,start,62.48,
1:02:33,3,start,62.55,
1:02:50,3,start,62.83,
1:05:19,3,start,65.32,
1:06:59,3,start,66.98,
1:07:52,3,start,67.87,
1:08:47,3,start,68.78,
1:10:39,3,start,70.65,
1:16:20,3,start,76.33,
1:16:56,3,start,76.93,
1:17:10,3,start,77.17,
1:21:11,3,start,81.18,
1:21:51,3,start,81.85,
1:22:43,3,start,82.72,
1:25:28,3,start,85.47,
1:27:24,3,start,87.40,
1:28:02,3,start,88.03,
1:28:47,3,start,88.78,
1:30:07,3,start,90.12,
1:33:52,3,start,93.87,
1:33:52,3,start,93.87,
1:34:13,3,start,94.22,
1:34:35,3,start,94.58,
1:35:29,3,start,95.48,
1:35:50,3,start,95.83,
1:35:55,3,start,95.92,
1:36:51,3,start,96.85,
1:40:49,3,start,100.82,
1:41:32,3,start,101.53,
1:43:28,3,start,103.47,
1:44:17,3,start,104.28,
1:45:40,3,start,105.67,
1:47:18,3,start,107.30,
1:48:59,3,start,108.98,
1:50:35,3,start,110.58,
1:52:18,3,start,112.30,
1:54:14,3,start,114.23,
1:55:01,3,start,115.02,
1:59:22,3,start,119.37,
2:00:55,3,start,120.92,
2:01:19,3,start,121.32,
2:02:29,3,start,122.48,
2:06:30,3,start,126.50,
2:07:56,3,tandem,127.93,
2:08:26,3,start,128.43,
2:09:01,3,start,129.02,
