time,feeder,event,minutes
0:00:00,1,best,0.00
0:00:00,2,poor,0.00
0:00:00,3,good,0.00
0:01:53,1,start,1.88
0:01:54,1,start,1.90
0:03:13,1,start,3.22
0:03:47,1,start,3.78
0:04:24,1,start,4.40
0:05:48,1,start,5.80
0:07:05,1,start,7.08
0:07:36,1,start,7.60
0:10:13,1,start,10.22
0:10:20,1,start,10.33
0:21:36,1,start,21.60
0:25:11,1,switch,25.18
0:28:21,1,start,28.35
0:29:25,1,start,29.42
0:37:19,1,start,37.32
0:38:40,1,start,38.67
0:38:49,1,start,38.82
0:38:59,1,start,38.98
0:39:08,1,start,39.13
0:39:42,1,start,39.70
0:39:42,1,start,39.70
0:40:26,1,tandem,40.43
0:40:57,1,start,40.95
0:41:43,1,start,41.72
0:42:52,1,start,42.87
0:47:36,1,start,47.60
0:48:53,1,start,48.88
0:49:34,1,start,49.57
0:53:46,1,start,53.77
0:54:07,1,start,54.12
0:54:42,1,start,54.70
0:57:53,1,start,57.88
0:57:59,1,start,57.98
0:59:24,1,start,59.40
0:59:57,1,start,59.95
1:00:23,1,tandem,60.38
1:01:10,1,start,61.17
1:03:22,1,start,63.37
1:03:27,1,start,63.45
1:03:57,1,start,63.95
1:07:18,1,start,67.30
1:08:44,1,start,68.73
1:10:45,1,tandem,70.75
1:11:26,1,start,71.43
1:11:35,1,start,71.58
1:12:53,1,start,72.88
1:14:51,1,start,74.85
1:18:18,1,start,78.30
1:19:01,1,start,79.02
1:19:56,1,start,79.93
1:20:21,1,start,80.35
1:21:48,1,tandem,81.80
1:22:34,1,start,82.57
1:22:34,1,start,82.57
1:24:24,1,start,84.40
1:25:42,1,start,85.70
1:27:17,1,start,87.28
1:28:27,1,start,88.45
1:28:44,1,start,88.73
1:29:33,1,start,89.55
0:00:35,2,start,0.58
0:02:53,2,start,2.88
0:05:23,2,start,5.38
0:05:25,2,start,5.42
0:05:53,2,start,5.88
0:06:53,2,start,6.88
0:11:21,2,start,11.35
0:12:12,2,start,12.20
0:13:22,2,start,13.37
0:13:37,2,start,13.62
0:17:36,2,start,17.60
0:20:17,2,start,20.28
0:23:45,2,start,23.75
0:24:48,2,start,24.80
0:30:31,2,start,30.52
0:31:59,2,start,31.98
0:01:01,3,start,1.02
0:01:18,3,start,1.30
0:01:34,3,start,1.57
0:04:38,3,start,4.63
0:04:38,3,start,4.63
0:04:49,3,start,4.82
0:06:09,3,start,6.15
0:06:59,3,start,6.98
0:08:39,3,start,8.65
0:08:59,3,tandem,8.98
0:09:55,3,start,9.92
0:09:58,3,start,9.97
0:10:55,3,start,10.92
0:12:40,3,start,12.67
0:14:54,3,tandem,14.90
0:15:21,3,start,15.35
0:15:21,3,start,15.35
0:15:25,3,start,15.42
0:15:37,3,start,15.62
0:16:08,3,start,16.13
0:19:20,3,start,19.33
0:19:51,3,start,19.85
0:21:10,3,start,21.17
0:21:38,3,start,21.63
0:23:44,3,start,23.73
0:23:59,3,start,23.98
0:24:17,3,start,24.28
0:24:31,3,start,24.52
0:24:44,3,start,24.73
0:24:45,3,start,24.75
0:25:39,3,start,25.65
0:26:08,3,start,26.13
0:27:01,3,start,27.02
0:28:37,3,start,28.62
0:30:23,3,start,30.38
0:30:51,3,start,30.85
0:30:56,3,start,30.93
0:31:00,3,start,31.00
0:31:08,3,start,31.13
0:31:12,3,start,31.20
0:31:24,3,start,31.40
0:31:33,3,start,31.55
0:31:55,3,tandem,31.92
0:32:19,3,start,32.32
0:32:43,3,start,32.72
0:32:49,3,start,32.82
0:34:14,3,start,34.23
0:34:19,3,start,34.32
0:34:29,3,start,34.48
0:35:07,3,start,35.12
0:35:29,3,start,35.48
0:35:42,3,start,35.70
0:36:41,3,start,36.68
0:36:49,3,start,36.82
0:38:00,3,tandem,38.00
0:38:21,3,start,38.35
0:38:44,3,start,38.73
0:38:44,3,start,38.73
0:39:08,3,start,39.13
0:40:50,3,start,40.83
0:41:27,3,start,41.45
0:41:45,3,start,41.75
0:43:56,3,start,43.93
0:44:24,3,start,44.40
0:45:08,3,start,45.13
0:45:26,3,start,45.43
0:46:49,3,start,46.82
0:46:59,3,tandem,46.98
0:47:08,3,start,47.13
0:47:39,3,start,47.65
0:47:45,3,start,47.75
0:49:24,3,start,49.40
0:50:08,3,tandem,50.13
0:50:42,3,start,50.70
0:51:10,3,start,51.17
0:52:23,3,start,52.38
0:54:17,3,start,54.28
0:55:24,3,start,55.40
0:56:22,3,start,56.37
0:56:56,3,start,56.93
0:57:30,3,start,57.50
0:59:13,3,start,59.22
0:59:38,3,start,59.63
1:00:50,3,start,60.83
1:00:54,3,start,60.90
1:01:14,3,start,61.23
1:02:08,3,start,62.13
1:02:51,3,tandem,62.85
1:03:03,3,start,63.05
1:03:27,3,start,63.45
1:04:04,3,start,64.07
1:04:05,3,start,64.08
1:04:05,3,tandem,64.08
1:04:21,3,start,64.35
1:04:44,3,start,64.73
1:04:49,3,start,64.82
1:05:33,3,start,65.55
1:06:25,3,start,66.42
1:06:36,3,start,66.60
1:09:28,3,tandem,69.47
1:09:54,3,start,69.90
1:10:02,3,start,70.03
1:10:09,3,start,70.15
1:14:54,3,start,74.90
1:16:06,3,start,76.10
1:18:48,3,tandem,78.80
1:19:44,3,start,79.73
1:20:45,3,start,80.75
1:21:03,3,start,81.05
1:21:07,3,start,81.12
1:21:12,3,start,81.20
1:21:36,3,start,81.60
1:22:26,3,start,82.43
1:23:11,3,start,83.18
1:27:27,3,start,87.45
1:28:03,3,start,88.05
1:28:24,3,start,88.40
1:29:10,3,start,89.17
1:29:35,3,start,89.58
1:29:56,3,start,89.93
