time,feeder,event,minutes,,
0:00:00,1,best,0.00,,
0:00:00,2,poor,0.00,,
0:00:00,3,good,0.00,,
0:00:31,3,start,0.52,,
0:00:38,3,start,0.63,,
0:01:00,3,start,1.00,,
0:01:21,3,start,1.35,,
0:04:10,3,start,4.17,,
0:04:13,3,start,4.22,,
0:05:14,3,start,5.23,,
0:05:44,3,start,5.73,,
0:05:49,3,start,5.82,,
0:05:57,3,start,5.95,,
0:06:22,3,start,6.37,,
0:06:44,3,start,6.73,,
0:08:03,3,start,8.05,,
0:09:11,3,start,9.18,,
0:09:30,3,start,9.50,,
0:10:01,3,start,10.02,,
0:10:19,3,start,10.32,,
0:10:50,3,start,10.83,,
0:12:35,3,start,12.58,,
0:13:48,3,start,13.80,,
0:13:49,3,start,13.82,,
0:13:52,3,start,13.87,,
0:14:54,3,start,14.90,,
0:18:03,3,start,18.05,,
0:18:17,3,start,18.28,,
0:19:22,3,start,19.37,,
0:19:30,3,start,19.50,,
0:19:49,3,start,19.82,,
0:19:52,3,tandem,19.87,,
0:20:15,3,start,20.25,,
0:20:33,3,start,20.55,,
0:20:59,3,start,20.98,,
0:21:41,3,start,21.68,,
0:21:53,3,start,21.88,,
0:21:55,3,start,21.92,,
0:22:26,3,start,22.43,,
0:22:37,3,start,22.62,,
0:23:08,3,start,23.13,,
0:24:38,3,start,24.63,,
0:24:55,3,start,24.92,,
0:25:04,3,start,25.07,,
0:25:33,3,start,25.55,,
0:25:35,3,start,25.58,,
0:25:53,3,start,25.88,,
0:26:29,3,start,26.48,,
0:26:53,3,start,26.88,,
0:26:53,3,start,26.88,,
0:27:43,3,start,27.72,,
0:28:07,3,start,28.12,,
0:28:15,3,start,28.25,,
0:29:08,3,start,29.13,,
0:29:51,3,start,29.85,,
0:30:28,1,switch,30.47,,
0:30:28,3,start,30.47,,
0:31:06,3,start,31.10,,
0:31:48,3,start,31.80,,
0:32:50,3,start,32.83,,
0:32:52,3,start,32.87,,
0:32:58,3,start,32.97,,
0:33:00,3,start,33.00,,
0:33:19,3,start,33.32,,
0:33:24,3,start,33.40,,
0:33:52,3,start,33.87,,
0:33:54,3,tandem,33.90,,
0:35:21,3,start,35.35,,
0:35:39,3,start,35.65,,
0:35:46,3,start,35.77,,
0:36:02,3,start,36.03,,
0:36:06,3,start,36.10,,
0:36:30,3,start,36.50,,
0:36:52,3,start,36.87,,
0:37:22,3,start,37.37,,
0:37:31,3,start,37.52,,
0:37:34,3,start,37.57,,
0:38:02,3,tandem,38.03,,
0:38:55,3,start,38.92,,
0:38:55,3,start,38.92,,
0:39:04,3,start,39.07,,
0:39:18,3,start,39.30,,
0:39:19,3,start,39.32,,
0:39:27,3,start,39.45,,
0:39:38,3,start,39.63,,
0:39:40,3,start,39.67,,
0:39:52,3,start,39.87,,
0:39:54,3,start,39.90,,
0:41:30,3,tandem,41.50,,
0:41:39,3,start,41.65,,
0:41:56,3,start,41.93,,
0:43:09,3,start,43.15,,
0:44:01,3,start,44.02,,
0:44:30,3,start,44.50,,
0:45:05,3,start,45.08,,
0:45:29,3,start,45.48,,
0:45:41,3,start,45.68,,
0:45:45,3,start,45.75,,
0:45:56,3,start,45.93,,
0:47:58,3,start,47.97,,
0:48:02,3,start,48.03,,
0:48:17,3,start,48.28,,
0:48:54,3,start,48.90,,
0:49:08,3,start,49.13,,
0:49:33,3,tandem,49.55,,
0:49:46,3,start,49.77,,
0:49:55,3,start,49.92,,
0:50:06,3,start,50.10,,
0:50:11,3,start,50.18,,
0:50:12,3,start,50.20,,
0:51:11,3,tandem,51.18,,
0:51:47,3,start,51.78,,
0:52:29,3,start,52.48,,
0:52:37,3,start,52.62,,
0:52:55,3,start,52.92,,
0:53:03,3,start,53.05,,
0:53:12,3,start,53.20,,
0:54:08,3,start,54.13,,
0:54:11,3,start,54.18,,
0:54:49,3,start,54.82,,
0:54:57,3,start,54.95,,
0:55:36,3,start,55.60,,
0:55:42,3,start,55.70,,
0:56:31,3,start,56.52,,
0:56:42,3,start,56.70,,
0:56:46,3,start,56.77,,
0:57:25,3,start,57.42,,
0:57:27,3,start,57.45,,
0:57:52,3,tandem,57.87,,
0:58:24,3,start,58.40,,
0:59:32,3,tandem,59.53,,
0:59:38,3,start,59.63,,
0:59:59,3,start,59.98,,
1:00:13,3,start,60.22,,
1:00:28,3,start,60.47,,
1:01:05,3,start,61.08,,
1:02:01,3,tandem,62.02,,
1:02:39,3,start,62.65,,
1:02:50,3,start,62.83,,
1:03:01,3,start,63.02,,
1:03:10,3,start,63.17,,
1:04:17,3,start,64.28,,
1:04:27,3,start,64.45,,
1:04:54,3,tandem,64.90,,
1:05:20,3,start,65.33,,
1:05:30,3,start,65.50,,
1:05:36,3,start,65.60,,
1:06:14,3,start,66.23,,
1:06:39,3,start,66.65,,
1:07:25,3,start,67.42,,
1:07:39,3,start,67.65,,
1:08:03,3,start,68.05,,
1:08:11,3,start,68.18,,
1:08:16,3,start,68.27,,
1:08:55,3,start,68.92,,
1:08:59,3,start,68.98,,
1:09:47,3,start,69.78,,
1:10:38,3,start,70.63,,
1:10:51,3,start,70.85,,
1:11:02,3,start,71.03,,
