time,feeder,event,minutes,,
0:00:00,1,best,0.00,,
0:00:00,2,good,0.00,,
0:00:00,3,poor,0.00,,
0:03:38,1,start,3.63,,
0:15:14,1,start,15.23,,
0:17:46,1,start,17.77,,
0:34:31,1,start,34.52,,
0:44:27,1,switch,44.45,,
0:44:34,1,start,44.57,,
0:53:43,1,start,53.72,,
0:54:03,1,start,54.05,,
0:57:11,1,start,57.18,,
1:00:14,1,start,60.23,,
1:00:45,1,start,60.75,,
1:07:48,1,start,67.80,,
1:08:28,1,start,68.47,,
1:11:03,1,start,71.05,,
1:11:57,1,start,71.95,,
1:15:03,1,start,75.05,,
1:17:26,1,start,77.43,,
1:20:18,1,start,80.30,,
1:20:34,1,start,80.57,,
1:21:35,1,start,81.58,,
1:22:42,1,start,82.70,,
1:25:44,1,start,85.73,,
1:26:18,1,start,86.30,,
1:29:53,1,start,89.88,,
1:32:56,1,start,92.93,,
1:33:44,1,start,93.73,,
1:34:33,1,start,94.55,,
1:40:51,1,start,100.85,,
1:41:06,1,start,101.10,,
1:44:06,1,tandem,104.10,,
1:46:48,1,start,106.80,,
1:46:54,1,start,106.90,,
1:46:54,1,start,106.90,,
1:49:02,1,start,109.03,,
1:49:42,1,start,109.70,,
1:52:56,1,start,112.93,,
1:53:10,1,start,113.17,,
1:56:38,1,tandem,116.63,,
1:57:23,1,start,117.38,,
1:57:27,1,start,117.45,Viewed through 2:00:00,
0:00:26,2,start,0.43,,
0:00:46,2,start,0.77,,
0:02:17,2,start,2.28,,
0:03:34,2,start,3.57,,
0:05:53,2,start,5.88,,
0:08:20,2,start,8.33,,
0:08:51,2,start,8.85,,
0:11:56,2,start,11.93,,
0:12:07,2,start,12.12,,
0:13:37,2,start,13.62,,
0:14:40,2,start,14.67,,
0:18:38,2,start,18.63,,
0:19:12,2,start,19.20,,
0:19:14,2,start,19.23,,
0:20:29,2,start,20.48,,
0:21:23,2,start,21.38,,
0:25:57,2,start,25.95,,
0:27:28,2,start,27.47,,
0:27:41,2,start,27.68,,
0:29:09,2,start,29.15,,
0:31:14,2,start,31.23,,
0:33:55,2,start,33.92,,
0:34:28,2,start,34.47,,
0:36:20,2,start,36.33,,
0:36:59,2,start,36.98,,
0:37:42,2,start,37.70,,
0:38:33,2,start,38.55,,
0:40:50,2,start,40.83,,
0:41:53,2,start,41.88,,
0:43:37,2,start,43.62,,
0:46:03,2,start,46.05,,
0:46:14,2,start,46.23,,
0:51:55,2,start,51.92,,
0:52:04,2,start,52.07,,
0:52:46,2,start,52.77,,
0:53:43,2,start,53.72,,
0:55:25,2,start,55.42,,
0:55:52,2,start,55.87,,
1:00:00,2,start,60.00,,
1:01:45,2,start,61.75,,
1:05:12,2,start,65.20,,
1:06:24,2,start,66.40,,
1:07:17,2,start,67.28,,
1:08:51,2,start,68.85,,
1:10:43,2,start,70.72,,
1:10:52,2,start,70.87,,
1:16:39,2,start,76.65,,
1:20:28,2,start,80.47,,
1:21:31,2,start,81.52,,
1:22:33,2,start,82.55,,
1:25:06,2,start,85.10,,
1:27:53,2,start,87.88,,
1:32:36,2,start,92.60,,
1:33:40,2,start,93.67,,
1:36:03,2,start,96.05,,
1:42:46,2,start,102.77,,
1:44:55,2,start,104.92,Viewed through 2:00:00,
0:01:08,3,start,1.13,,
0:01:20,3,start,1.33,,
0:01:24,3,start,1.40,,
0:06:44,3,start,6.73,,
0:08:37,3,start,8.62,,
0:12:20,3,start,12.33,,
0:15:47,3,start,15.78,,
0:22:48,3,start,22.80,,
0:25:29,3,start,25.48,,
0:29:21,3,start,29.35,,
0:30:56,3,start,30.93,,
0:39:23,3,start,39.38,,
0:43:40,3,start,43.67,,
0:47:28,3,start,47.47,,
0:47:36,3,start,47.60,,
0:48:59,3,start,48.98,,
0:52:43,3,start,52.72,,
1:02:00,3,start,62.00,,
1:18:04,3,start,78.07,,
1:35:19,3,start,95.32,,
1:35:38,3,start,95.63,Viewed through 2:00:00,
