time,feeder,event,minutes
0:00:00,1,best,0.00
0:00:00,2,poor,0.00
0:00:00,3,good,0.00
0:03:24,1,start,3.40
0:03:29,1,start,3.48
0:03:50,1,start,3.83
0:07:09,1,start,7.15
0:12:16,1,start,12.27
0:13:16,1,start,13.27
0:18:07,1,start,18.12
0:19:02,1,switch,19.03
0:22:21,1,start,22.35
0:22:37,1,start,22.62
0:26:58,1,start,26.97
0:31:23,1,start,31.38
0:40:18,1,start,40.30
0:01:22,2,start,1.37
0:01:27,2,start,1.45
0:01:42,2,start,1.70
0:01:53,2,start,1.88
0:02:07,2,start,2.12
0:04:40,2,start,4.67
0:08:59,2,start,8.98
0:09:03,2,start,9.05
0:09:42,2,start,9.70
0:10:10,2,start,10.17
0:11:51,2,start,11.85
0:13:03,2,start,13.05
0:26:23,2,start,26.38
0:27:58,2,start,27.97
0:29:27,2,start,29.45
0:31:23,2,start,31.38
0:58:07,2,start,58.12
0:01:12,3,start,1.20
0:01:41,3,start,1.68
0:02:40,3,start,2.67
0:03:39,3,start,3.65
0:03:59,3,start,3.98
0:05:48,3,start,5.80
0:06:01,3,start,6.02
0:06:51,3,start,6.85
0:07:07,3,start,7.12
0:07:43,3,start,7.72
0:09:39,3,start,9.65
0:09:43,3,start,9.72
0:10:50,3,start,10.83
0:13:24,3,start,13.40
0:13:35,3,start,13.58
0:13:38,3,start,13.63
0:14:00,3,start,14.00
0:14:12,3,start,14.20
0:14:58,3,start,14.97
0:15:47,3,start,15.78
0:15:51,3,start,15.85
0:15:51,3,start,15.85
0:17:34,3,start,17.57
0:17:45,3,start,17.75
0:18:09,3,tandem,18.15
0:19:23,3,start,19.38
0:19:39,3,start,19.65
0:19:43,3,start,19.72
0:20:00,3,start,20.00
0:20:05,3,start,20.08
0:20:31,3,start,20.52
0:20:36,3,start,20.60
0:20:39,3,start,20.65
0:20:39,3,start,20.65
0:21:27,3,start,21.45
0:21:51,3,start,21.85
0:22:10,3,start,22.17
0:22:28,3,start,22.47
0:23:24,3,start,23.40
0:24:01,3,start,24.02
0:24:29,3,start,24.48
0:24:43,3,start,24.72
0:24:59,3,tandem,24.98
0:25:15,3,start,25.25
0:25:50,3,start,25.83
0:25:52,3,start,25.87
0:25:54,3,start,25.90
0:26:09,3,start,26.15
0:26:15,3,start,26.25
0:26:16,3,tandem,26.27
0:26:41,3,start,26.68
0:26:51,3,start,26.85
0:28:16,3,start,28.27
0:28:41,3,start,28.68
0:29:08,3,start,29.13
0:29:14,3,start,29.23
0:30:21,3,start,30.35
0:30:35,3,start,30.58
0:31:06,3,start,31.10
0:31:19,3,start,31.32
0:32:31,3,start,32.52
0:32:34,3,start,32.57
0:32:39,3,start,32.65
0:33:11,3,start,33.18
0:33:33,3,start,33.55
0:33:37,3,start,33.62
0:33:45,3,tandem,33.75
0:33:52,3,start,33.87
0:34:25,3,start,34.42
0:34:28,3,start,34.47
0:35:33,3,start,35.55
0:35:33,3,start,35.55
0:35:48,3,start,35.80
0:35:52,3,tandem,35.87
0:36:08,3,start,36.13
0:36:39,3,start,36.65
0:36:46,3,start,36.77
0:36:55,3,start,36.92
0:36:59,3,start,36.98
0:37:20,3,start,37.33
0:37:41,3,start,37.68
0:38:24,3,start,38.40
0:38:52,3,start,38.87
0:38:53,3,start,38.88
0:38:55,3,start,38.92
0:39:03,3,start,39.05
0:39:21,3,start,39.35
0:40:55,3,start,40.92
0:41:24,3,start,41.40
0:41:37,3,tandem,41.62
0:42:04,3,start,42.07
0:42:06,3,start,42.10
0:42:14,3,start,42.23
0:42:22,3,start,42.37
0:42:39,3,start,42.65
0:43:05,3,start,43.08
0:43:15,3,tandem,43.25
0:43:30,3,start,43.50
0:43:43,3,start,43.72
0:43:48,3,start,43.80
0:43:48,3,start,43.80
0:44:33,3,start,44.55
0:44:58,3,start,44.97
0:45:31,3,start,45.52
0:45:48,3,start,45.80
0:45:48,3,start,45.80
0:45:59,3,start,45.98
0:46:27,3,start,46.45
0:47:14,3,start,47.23
0:47:17,3,start,47.28
0:47:59,3,start,47.98
0:49:24,3,start,49.40
0:49:48,3,start,49.80
0:50:00,3,start,50.00
0:50:28,3,start,50.47
0:50:43,3,start,50.72
0:50:58,3,start,50.97
0:51:50,3,start,51.83
0:52:07,3,start,52.12
0:52:50,3,start,52.83
0:52:50,3,start,52.83
0:53:10,3,start,53.17
0:53:17,3,start,53.28
0:53:24,3,start,53.40
0:53:44,3,start,53.73
0:54:15,3,start,54.25
0:54:20,3,start,54.33
0:54:23,3,start,54.38
0:54:38,3,start,54.63
0:54:55,3,start,54.92
0:55:03,3,start,55.05
0:56:19,3,start,56.32
0:56:44,3,start,56.73
0:56:58,3,start,56.97
0:57:11,3,start,57.18
0:57:37,3,start,57.62
0:58:34,3,start,58.57
0:58:44,3,start,58.73
0:59:13,3,start,59.22
0:59:21,3,start,59.35
0:59:26,3,start,59.43
0:59:31,3,start,59.52
0:59:36,3,start,59.60
0:59:38,3,start,59.63
1:00:12,3,start,60.20
1:00:16,3,start,60.27
